Location,Date,Time,VehicleCount,PM2.5,PM10,NO2,Temperature,Humidity
Park Ave,2025-01-29,07:02:00,459,37.67,34.3,39.29,29.62,31.58
Main St,2025-01-25,23:05:00,466,99.26,88.58,32.67,31.5,71.53
Main St,2025-01-06,04:19:00,382,148.96,172.66,24.22,36.51,30.76
Elm St,2025-01-05,11:35:00,41,25.92,95.14,32.2,39.17,22.09
5th Ave,2025-01-25,03:45:00,186,82.72,101.36,81.87,27.65,78.23
Park Ave,2025-01-06,09:12:00,166,109.16,111.14,94.52,25.24,31.91
Main St,2025-01-19,07:53:00,232,87.67,141.32,84.4,21.22,51.8
Broadway,2025-01-13,08:16:00,317,146.52,63.16,54.12,30.3,73.48
Main St,2025-01-17,17:19:00,322,95.38,25.36,68.0,15.67,46.23
Broadway,2025-01-03,01:19:00,390,14.68,58.37,48.1,19.08,70.94
Broadway,2025-01-21,01:46:00,468,30.22,152.65,56.94,36.26,63.23
Broadway,2025-01-28,10:18:00,158,109.9,86.01,54.42,33.97,72.52
Park Ave,2025-01-11,18:59:00,21,103.31,129.77,98.54,30.3,64.21
Main St,2025-01-29,03:35:00,375,69.26,112.5,34.36,27.23,57.43
Elm St,2025-01-22,22:04:00,68,9.69,69.29,8.23,28.29,63.25
Park Ave,2025-01-25,21:55:00,337,101.4,13.42,71.16,32.15,76.58
Broadway,2025-01-23,05:12:00,447,15.71,140.25,17.18,29.55,59.61
Park Ave,2025-01-22,10:02:00,389,129.03,15.59,18.45,38.45,49.87
5th Ave,2025-01-30,06:02:00,322,135.41,69.51,96.94,15.37,73.59
Main St,2025-01-22,01:06:00,241,139.62,131.65,13.59,16.32,61.28
Broadway,2025-01-17,13:04:00,117,130.32,132.34,41.08,26.6,52.03
Park Ave,2025-01-26,17:53:00,107,18.76,136.57,60.33,28.48,60.47
Park Ave,2025-01-04,17:06:00,4,32.36,26.2,54.91,39.61,61.28
5th Ave,2025-01-15,01:02:00,484,59.08,105.39,83.14,16.75,57.76
Main St,2025-01-22,12:14:00,168,117.01,103.14,41.88,30.46,61.66
Park Ave,2025-01-17,09:05:00,275,120.34,122.98,84.04,28.85,55.78
Park Ave,2025-01-19,18:18:00,256,72.33,24.8,29.28,32.85,35.31
5th Ave,2025-01-19,04:55:00,49,16.74,92.76,85.99,24.29,65.2
Main St,2025-01-13,06:24:00,363,121.21,45.38,94.15,33.91,64.1
Main St,2025-01-14,11:52:00,394,21.72,175.37,62.28,16.16,73.76
5th Ave,2025-01-22,16:59:00,174,53.6,57.67,88.89,27.83,67.06
5th Ave,2025-01-25,18:29:00,79,53.94,199.79,26.47,31.23,34.79
Main St,2025-01-07,02:07:00,28,91.5,147.28,81.44,36.94,71.16
Broadway,2025-01-20,05:03:00,0,147.39,97.34,27.29,15.24,22.22
Elm St,2025-01-24,02:35:00,432,134.27,89.66,22.4,17.09,37.35
Park Ave,2025-01-14,04:57:00,221,64.79,188.63,9.25,35.99,44.32
Broadway,2025-01-01,23:23:00,254,97.94,121.98,80.13,18.84,24.31
Broadway,2025-01-14,13:43:00,221,81.26,143.11,49.4,30.63,77.59
5th Ave,2025-01-25,23:30:00,199,93.42,192.1,72.03,37.04,67.24
Main St,2025-01-23,19:41:00,248,85.66,82.28,47.08,24.9,32.22
5th Ave,2025-01-12,05:22:00,358,80.19,51.78,93.48,23.02,28.59
5th Ave,2025-01-25,19:00:00,471,48.23,158.63,26.46,30.91,61.33
5th Ave,2025-01-01,15:42:00,143,104.1,85.75,45.42,23.92,40.51
Broadway,2025-01-07,05:29:00,167,111.22,131.64,22.79,21.82,62.83
Main St,2025-01-24,06:14:00,296,82.58,81.65,22.63,36.34,27.91
Broadway,2025-01-11,05:24:00,50,78.01,66.73,54.39,34.42,57.23
Broadway,2025-01-10,17:05:00,132,48.55,165.11,21.41,39.45,30.52
5th Ave,2025-01-10,07:16:00,6,41.83,53.98,49.12,21.05,46.86
Park Ave,2025-01-13,10:55:00,455,65.4,122.56,78.86,21.82,70.08
5th Ave,2025-01-05,22:13:00,412,73.75,195.22,53.35,35.41,66.83
Elm St,2025-01-01,23:19:00,121,87.73,83.61,57.82,38.6,28.47
Park Ave,2025-01-25,15:22:00,317,31.15,169.21,35.79,17.58,42.77
Elm St,2025-01-18,10:00:00,141,71.35,96.44,18.79,23.68,71.16
5th Ave,2025-01-19,10:20:00,200,17.67,68.67,80.08,31.06,27.81
Main St,2025-01-24,16:54:00,452,38.08,31.0,57.18,27.38,75.15
Elm St,2025-01-03,08:32:00,444,21.63,58.18,78.11,20.54,52.51
Elm St,2025-01-15,11:58:00,474,116.62,190.0,38.87,17.86,62.89
Elm St,2025-01-07,20:29:00,7,50.25,198.71,72.45,22.71,50.67
Broadway,2025-01-16,06:08:00,271,105.87,26.18,26.68,30.23,68.0
Park Ave,2025-01-12,12:03:00,396,80.03,74.82,45.47,17.89,55.33
5th Ave,2025-01-22,08:18:00,330,20.93,128.69,50.15,16.01,64.57
Main St,2025-01-22,00:20:00,311,139.9,174.73,59.45,32.53,65.07
Elm St,2025-01-09,17:01:00,206,42.05,126.86,99.48,30.2,44.77
Park Ave,2025-01-19,07:50:00,312,28.89,37.55,61.99,22.15,38.84
5th Ave,2025-01-06,07:45:00,93,48.61,157.16,20.06,39.14,62.1
Park Ave,2025-01-20,15:25:00,254,47.05,189.38,88.77,21.26,33.8
Park Ave,2025-01-20,09:27:00,67,97.7,48.88,12.12,39.69,71.8
Elm St,2025-01-26,15:49:00,293,132.88,107.1,17.69,33.29,70.42
Broadway,2025-01-26,17:26:00,300,12.18,123.39,36.3,19.7,73.74
Main St,2025-01-21,22:32:00,219,61.35,112.81,26.37,37.63,41.39
5th Ave,2025-01-12,10:38:00,279,10.73,71.5,36.37,25.96,75.94
Broadway,2025-01-28,21:55:00,13,13.15,99.4,89.17,20.08,35.94
Broadway,2025-01-20,15:55:00,405,53.72,98.12,23.48,16.28,69.35
Main St,2025-01-15,21:54:00,101,94.93,41.63,76.0,17.93,34.78
Elm St,2025-01-23,01:16:00,279,39.04,167.72,40.88,33.48,68.56
5th Ave,2025-01-04,10:32:00,87,19.42,148.83,43.57,22.42,60.75
5th Ave,2025-01-07,00:39:00,465,22.28,71.26,68.63,19.7,29.51
5th Ave,2025-01-25,01:49:00,146,6.88,180.46,28.19,26.76,32.24
Broadway,2025-01-24,11:08:00,79,144.21,105.14,36.74,20.42,65.6
5th Ave,2025-01-19,17:06:00,9,82.84,50.92,53.83,31.59,40.48
Main St,2025-01-02,10:01:00,332,23.44,190.11,92.1,21.56,38.68
Broadway,2025-01-03,06:34:00,322,105.28,15.02,44.09,26.8,21.73
Broadway,2025-01-09,03:18:00,479,131.07,18.04,31.57,20.55,64.58
Main St,2025-01-13,07:40:00,174,103.01,102.98,54.24,20.3,53.3
5th Ave,2025-01-27,11:54:00,247,142.99,176.23,14.93,18.91,67.78
Elm St,2025-01-21,14:19:00,167,25.84,28.44,73.87,19.27,28.3
Elm St,2025-01-16,21:42:00,150,14.29,59.95,76.36,30.01,21.97
Main St,2025-01-11,04:15:00,249,109.18,166.25,89.53,34.44,62.85
Elm St,2025-01-04,02:00:00,398,19.3,146.35,9.86,29.04,36.65
Main St,2025-01-23,21:52:00,242,29.93,191.59,94.66,32.9,47.42
Main St,2025-01-24,16:48:00,329,82.15,52.22,53.84,15.63,40.71
Main St,2025-01-02,01:28:00,275,46.63,151.98,67.12,25.37,52.4
Elm St,2025-01-06,23:14:00,90,31.37,52.01,33.68,36.86,24.92
Elm St,2025-01-20,21:55:00,379,31.73,101.83,38.8,20.5,38.56
5th Ave,2025-01-28,04:00:00,49,117.24,157.27,17.9,31.2,43.83
Elm St,2025-01-09,19:13:00,288,75.49,17.49,74.78,20.61,79.41
Main St,2025-01-08,14:59:00,32,46.34,175.3,92.02,29.42,42.82
Park Ave,2025-01-13,09:26:00,174,21.43,72.28,86.71,38.09,49.16
Elm St,2025-01-15,13:05:00,187,77.0,107.09,72.04,36.51,35.65
Broadway,2025-01-22,15:20:00,126,61.65,32.22,83.0,21.91,55.72
Elm St,2025-01-18,00:42:00,339,126.5,162.36,15.64,19.95,62.93
Elm St,2025-01-08,23:54:00,455,17.21,160.98,17.73,29.17,60.96
Broadway,2025-01-12,12:16:00,248,39.61,194.61,31.21,17.01,67.15
Main St,2025-01-11,08:10:00,257,6.58,147.31,93.4,31.96,33.5
Park Ave,2025-01-19,04:28:00,111,139.2,142.64,86.34,23.67,44.4
Broadway,2025-01-01,15:20:00,479,94.6,55.61,73.33,29.62,54.02
Broadway,2025-01-12,02:00:00,394,36.41,47.72,71.23,20.96,22.77
Park Ave,2025-01-22,05:32:00,474,83.27,43.46,87.18,21.89,45.68
Broadway,2025-01-10,23:50:00,103,61.81,82.57,68.36,35.58,61.54
Elm St,2025-01-01,08:46:00,101,62.67,55.17,48.82,29.57,55.81
Elm St,2025-01-13,14:21:00,236,40.64,20.7,58.79,24.42,68.24
5th Ave,2025-01-01,19:29:00,328,34.17,157.55,23.41,36.82,40.85
Elm St,2025-01-14,19:51:00,219,36.12,133.18,20.1,24.17,75.09
Broadway,2025-01-26,07:56:00,387,54.34,109.75,52.94,19.68,49.8
Main St,2025-01-08,21:18:00,269,63.09,39.64,77.01,24.66,44.78
Broadway,2025-01-22,10:05:00,261,23.02,38.79,42.94,38.92,49.74
Main St,2025-01-21,16:42:00,48,117.8,169.08,97.78,31.24,65.58
Broadway,2025-01-09,18:37:00,444,46.48,124.58,20.58,39.36,57.01
Main St,2025-01-13,05:08:00,86,85.96,69.57,95.82,19.14,78.29
Broadway,2025-01-12,12:07:00,386,32.62,66.88,43.01,22.74,20.18
Broadway,2025-01-19,19:39:00,441,64.71,69.6,72.8,32.84,59.11
Elm St,2025-01-18,05:08:00,102,79.28,154.2,93.47,33.52,44.72
Park Ave,2025-01-22,10:06:00,24,17.69,105.45,89.32,28.78,35.04
Elm St,2025-01-04,03:22:00,486,100.05,183.93,32.99,17.73,38.41
Elm St,2025-01-23,20:25:00,22,93.6,124.86,75.66,33.68,39.76
Main St,2025-01-14,01:11:00,228,74.79,93.11,100.0,20.61,75.28
5th Ave,2025-01-23,10:55:00,410,22.89,172.67,32.89,25.39,77.52
Main St,2025-01-01,22:36:00,258,15.32,120.29,15.35,15.98,46.31
5th Ave,2025-01-10,08:37:00,48,25.21,124.6,94.96,34.13,79.46
5th Ave,2025-01-16,18:32:00,89,98.47,193.13,54.78,36.45,46.14
Elm St,2025-01-15,09:41:00,446,142.4,75.79,81.79,27.67,29.71
5th Ave,2025-01-01,23:51:00,233,18.2,118.29,23.01,25.74,25.74
5th Ave,2025-01-18,10:33:00,447,127.86,172.14,78.42,23.54,67.81
Elm St,2025-01-20,11:43:00,11,59.73,50.65,43.5,27.67,62.42
5th Ave,2025-01-05,08:03:00,144,44.75,76.63,22.61,36.16,31.28
5th Ave,2025-01-16,17:57:00,378,117.05,137.87,60.6,16.36,46.2
Elm St,2025-01-01,17:44:00,139,40.88,86.82,59.93,35.15,63.1
Main St,2025-01-03,02:46:00,387,123.17,103.48,6.51,19.94,21.45
5th Ave,2025-01-13,14:29:00,290,123.13,43.32,34.23,27.26,61.07
Broadway,2025-01-28,10:16:00,174,11.64,156.38,74.44,28.53,21.58
5th Ave,2025-01-28,09:44:00,427,97.17,37.39,78.29,28.16,76.35
Elm St,2025-01-17,00:25:00,406,26.73,136.67,73.92,24.11,70.36
Main St,2025-01-06,21:03:00,298,90.57,176.27,78.48,22.63,66.97
Elm St,2025-01-19,17:47:00,324,114.37,71.03,89.76,20.44,40.61
5th Ave,2025-01-16,12:36:00,173,32.76,177.61,69.44,33.4,61.61
5th Ave,2025-01-23,08:30:00,217,62.45,94.32,87.57,17.2,79.1
Park Ave,2025-01-22,14:21:00,436,88.94,22.35,46.04,29.18,34.39
Park Ave,2025-01-18,01:31:00,200,66.13,131.45,40.25,26.53,40.67
Park Ave,2025-01-30,19:31:00,35,92.26,36.47,89.74,27.28,68.06
Park Ave,2025-01-09,11:12:00,125,90.43,67.04,92.19,25.91,42.89
Broadway,2025-01-13,19:41:00,145,121.0,56.21,99.08,17.62,25.77
Main St,2025-01-10,10:02:00,404,141.63,157.72,66.88,31.56,36.65
Main St,2025-01-02,08:48:00,11,74.53,188.81,66.84,18.92,50.72
5th Ave,2025-01-03,14:10:00,159,6.17,31.51,99.72,36.08,65.48
Main St,2025-01-02,11:52:00,484,77.82,162.24,44.78,32.05,72.76
Elm St,2025-01-09,02:41:00,83,133.7,137.62,83.72,37.56,65.8
Elm St,2025-01-25,20:36:00,77,114.03,11.37,35.82,19.81,52.36
5th Ave,2025-01-30,08:47:00,343,38.12,21.1,87.26,34.4,41.87
Elm St,2025-01-12,06:47:00,78,127.62,168.26,22.35,26.11,62.52
Main St,2025-01-13,15:03:00,452,5.79,97.91,91.63,20.71,20.01
Broadway,2025-01-18,12:26:00,465,135.76,180.01,88.17,39.04,35.56
Broadway,2025-01-26,20:49:00,253,20.07,90.66,36.1,37.57,44.87
Elm St,2025-01-03,17:21:00,481,24.31,102.95,90.61,21.95,23.83
Park Ave,2025-01-18,21:43:00,10,137.41,62.36,55.88,39.04,48.98
Main St,2025-01-12,10:43:00,291,97.53,81.78,25.01,31.05,54.37
Broadway,2025-01-12,18:19:00,318,62.27,55.65,76.53,25.07,51.86
Park Ave,2025-01-02,21:49:00,141,136.85,18.53,61.57,29.36,43.05
Park Ave,2025-01-11,10:23:00,76,128.71,106.47,18.52,31.76,53.0
Park Ave,2025-01-27,12:50:00,326,75.31,162.05,40.39,33.75,68.43
Main St,2025-01-15,12:37:00,326,5.75,112.88,60.51,23.68,21.86
Broadway,2025-01-19,05:05:00,181,110.01,20.47,61.05,35.89,40.79
Main St,2025-01-22,16:49:00,218,40.97,137.58,59.04,35.82,37.17
Broadway,2025-01-09,03:37:00,13,24.26,37.24,7.41,39.26,71.3
Main St,2025-01-04,17:21:00,315,51.46,97.97,36.07,21.23,40.03
Elm St,2025-01-23,22:21:00,497,127.79,113.1,90.25,39.65,69.91
Elm St,2025-01-15,17:38:00,81,64.98,51.98,50.57,18.47,44.44
Main St,2025-01-11,11:16:00,284,75.68,11.12,89.04,15.67,67.14
Broadway,2025-01-27,01:34:00,319,8.57,113.83,19.87,28.84,73.51
Broadway,2025-01-30,12:15:00,486,74.1,50.41,70.97,31.05,70.32
5th Ave,2025-01-25,00:20:00,388,58.12,42.37,91.28,22.8,38.46
Elm St,2025-01-11,03:28:00,377,125.04,12.17,89.12,30.83,77.63
Broadway,2025-01-07,08:44:00,196,147.74,84.24,57.74,27.54,35.66
Elm St,2025-01-12,20:06:00,265,37.27,188.33,78.21,21.47,39.4
Park Ave,2025-01-15,15:02:00,214,45.29,39.59,39.81,24.72,50.57
Broadway,2025-01-04,18:44:00,408,34.79,192.4,28.36,21.55,34.7
Elm St,2025-01-06,09:27:00,438,49.04,159.05,62.58,31.3,66.73
Broadway,2025-01-01,08:47:00,145,34.33,10.02,63.77,37.63,53.63
Broadway,2025-01-11,23:02:00,94,23.37,122.98,71.09,38.07,75.58
Broadway,2025-01-21,16:15:00,168,33.54,167.11,84.29,22.67,31.97
5th Ave,2025-01-14,05:52:00,450,43.15,70.43,16.15,31.75,59.14
Main St,2025-01-13,03:08:00,5,6.03,67.52,81.31,39.74,70.9
Elm St,2025-01-17,16:21:00,199,39.37,92.63,30.98,20.05,28.46
Park Ave,2025-01-17,18:29:00,82,48.45,152.95,75.74,27.77,46.51
Elm St,2025-01-10,12:54:00,321,62.61,178.27,7.29,17.49,74.4
Main St,2025-01-14,21:52:00,55,60.15,129.03,72.47,25.09,71.95
Broadway,2025-01-03,23:53:00,257,63.88,122.26,55.44,34.62,30.64
Park Ave,2025-01-16,03:03:00,496,106.29,149.85,74.16,38.11,33.07
5th Ave,2025-01-03,13:02:00,17,43.27,56.92,32.41,35.35,40.38
Elm St,2025-01-29,13:40:00,307,19.79,143.24,61.79,22.09,78.98
5th Ave,2025-01-21,11:54:00,312,121.65,74.04,57.86,39.2,37.81
Main St,2025-01-07,14:25:00,77,60.52,170.28,54.14,18.82,64.67
Elm St,2025-01-08,18:16:00,194,100.15,64.81,5.35,24.45,60.08
Park Ave,2025-01-04,07:17:00,101,17.01,24.97,5.7,31.89,47.93
Broadway,2025-01-13,02:38:00,398,106.42,72.84,32.61,20.6,45.31
Broadway,2025-01-27,18:37:00,273,44.33,168.39,61.33,37.08,46.22
Main St,2025-01-18,01:11:00,10,56.8,199.91,51.17,29.58,21.78
5th Ave,2025-01-02,05:01:00,78,64.07,124.03,5.37,37.1,40.62
Park Ave,2025-01-02,07:46:00,236,44.46,24.81,95.01,20.84,58.49
Main St,2025-01-21,19:32:00,352,109.75,95.74,5.8,36.97,20.21
Main St,2025-01-28,21:10:00,102,115.36,174.88,42.02,39.8,32.53
5th Ave,2025-01-14,02:00:00,308,53.86,99.03,89.16,21.33,51.39
5th Ave,2025-01-11,17:52:00,208,11.47,112.82,65.65,24.67,73.67
Main St,2025-01-28,05:09:00,97,68.97,72.69,19.18,32.42,49.72
Elm St,2025-01-13,21:44:00,56,7.95,16.34,12.21,27.2,31.36
Elm St,2025-01-04,01:40:00,138,8.51,39.42,62.76,28.56,76.94
5th Ave,2025-01-27,20:10:00,478,31.8,99.46,38.02,21.27,64.72
Broadway,2025-01-04,16:12:00,408,35.37,115.62,73.19,31.97,23.12
Main St,2025-01-08,12:00:00,92,63.74,155.2,62.63,29.07,23.38
Main St,2025-01-30,07:48:00,226,109.55,168.76,24.91,38.83,21.98
Broadway,2025-01-07,01:51:00,129,40.14,64.93,77.42,38.8,33.07
Main St,2025-01-05,00:15:00,117,102.76,37.45,97.04,33.81,79.59
Main St,2025-01-25,03:59:00,20,33.47,84.45,63.96,27.25,32.74
Park Ave,2025-01-02,06:45:00,286,7.86,82.29,58.49,30.06,76.18
Broadway,2025-01-20,22:08:00,64,54.24,96.57,49.33,20.27,37.85
Main St,2025-01-15,12:58:00,456,114.66,52.73,63.97,22.03,63.68
Broadway,2025-01-30,11:47:00,279,38.84,24.24,96.0,32.72,44.03
Park Ave,2025-01-09,10:20:00,315,8.82,47.8,93.5,25.08,41.65
Broadway,2025-01-15,17:06:00,364,75.09,160.95,60.94,36.79,75.73
Elm St,2025-01-13,06:19:00,207,9.85,129.16,90.36,24.57,42.06
Broadway,2025-01-05,21:34:00,6,107.7,139.37,9.51,16.62,36.98
Broadway,2025-01-28,14:34:00,303,54.62,133.63,59.15,34.03,22.59
Broadway,2025-01-10,00:29:00,196,65.13,33.2,36.41,35.71,59.93
Elm St,2025-01-29,05:30:00,1,108.7,70.02,72.34,38.47,61.53
Broadway,2025-01-01,16:54:00,247,59.8,99.59,75.03,29.96,79.6
Elm St,2025-01-27,15:02:00,425,89.15,39.98,27.61,29.6,26.66
Elm St,2025-01-11,03:07:00,252,72.84,83.06,14.69,37.67,78.2
Main St,2025-01-12,04:01:00,476,16.91,103.69,74.89,27.72,50.37
Park Ave,2025-01-19,17:09:00,206,7.14,63.09,39.53,16.42,21.84
Park Ave,2025-01-04,21:22:00,163,71.97,145.87,61.92,31.49,77.33
Elm St,2025-01-29,04:24:00,418,44.95,192.73,94.18,25.79,24.42
Broadway,2025-01-25,04:49:00,309,30.0,188.77,25.67,26.16,35.53
Park Ave,2025-01-06,19:09:00,367,22.79,38.04,78.49,29.71,59.89
5th Ave,2025-01-26,22:53:00,151,37.64,38.29,75.93,38.14,37.75
Broadway,2025-01-30,02:06:00,475,7.73,71.78,86.92,20.77,22.65
Elm St,2025-01-25,18:31:00,63,97.5,79.11,54.15,18.11,50.81
Broadway,2025-01-10,10:24:00,471,15.98,170.73,60.96,24.52,31.45
Elm St,2025-01-03,20:10:00,436,76.97,78.63,19.88,17.46,55.8
Main St,2025-01-01,17:39:00,441,133.47,199.92,37.83,15.81,21.15
5th Ave,2025-01-12,07:24:00,292,26.61,122.27,42.87,15.99,53.66
Broadway,2025-01-03,14:55:00,346,102.79,175.59,9.77,28.31,65.12
Elm St,2025-01-24,04:43:00,282,7.19,65.03,38.06,15.39,33.62
Elm St,2025-01-10,10:49:00,467,14.91,82.93,29.84,35.36,76.98
Broadway,2025-01-30,23:15:00,403,90.76,188.87,27.47,22.44,53.15
Elm St,2025-01-17,05:45:00,365,44.62,151.8,60.25,20.9,76.57
Park Ave,2025-01-15,08:58:00,147,143.1,166.24,62.53,30.76,64.46
Broadway,2025-01-06,19:52:00,369,49.45,90.4,69.15,21.56,70.72
Broadway,2025-01-07,09:47:00,311,135.26,77.31,45.83,21.83,34.49
Broadway,2025-01-22,09:00:00,197,25.26,123.1,76.15,32.27,22.88
Main St,2025-01-24,11:27:00,232,140.45,48.34,23.86,25.18,37.91
Park Ave,2025-01-06,11:12:00,115,41.04,48.1,92.91,28.98,26.96
5th Ave,2025-01-01,10:59:00,138,110.51,77.79,74.55,33.38,34.6
Elm St,2025-01-05,01:53:00,21,111.02,26.06,13.05,15.3,42.75
Main St,2025-01-14,15:22:00,301,139.06,150.59,90.38,30.9,60.95
